,IATACode,ICAOCode,Name,Countries
175,DR,,Ruili Airlines,"['CN', 'MM', 'TH']"
176,DT,DTA,TAAG-Angola Airlines,"['AO', 'BR', 'CD', 'CG', 'CU', 'ES', 'GH', 'MZ', 'NA', 'NG', 'PT', 'ST', 'ZA']"
177,DU,HMS,Air Liaison,['CA']
178,DV,ACK,AirCompany SCAT,"['AM', 'GE', 'KZ', 'PK', 'RU', 'TR', 'UZ']"
179,DX,DTR,Danish Air,"['DE', 'DK', 'NO']"
180,DY,NAX,Norwegian Air Shuttle,"['AL', 'AT', 'BA', 'BG', 'CH', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'HR', 'HU', 'IE', 'IS', 'IT', 'LT', 'LV', 'MA', 'ME', 'MK', 'MT', 'NL', 'NO', 'PL', 'PT', 'RO', 'RS', 'SE', 'SJ', 'TR']"
181,DZ,,Donghai Airlines,['CN']
182,E4,RSO,ATA - AEROTAXI ABAETE LTDA,['BR']
183,E5,BRZ,Air Arabia Egypt,"['BH', 'EG', 'FR', 'IT', 'JO', 'OM', 'SA']"
184,E9,CXS,Iberojet Airlines,"['CR', 'CU', 'DO', 'ES', 'HN', 'MU', 'MX']"
185,EGU,,Eagle Air,['UG']
186,EI,EIN,Aer Lingus,"['AE', 'AT', 'BB', 'BE', 'BG', 'CA', 'CH', 'CZ', 'DE', 'ES', 'FR', 'GB', 'GR', 'HR', 'HU', 'IE', 'IM', 'IT', 'JE', 'NL', 'PL', 'PT', 'TR', 'US']"
187,EK,UAE,Emirates,"['AE', 'AO', 'AR', 'AT', 'AU', 'BD', 'BE', 'BH', 'BR', 'CA', 'CH', 'CI', 'CN', 'CY', 'CZ', 'DE', 'DK', 'DZ', 'EG', 'ES', 'ET', 'FR', 'GB', 'GH', 'GN', 'GR', 'HK', 'HU', 'ID', 'IE', 'IL', 'IN', 'IQ', 'IR', 'IT', 'JO', 'JP', 'KE', 'KR', 'KW', 'LB', 'LK', 'MA', 'MT', 'MU', 'MV', 'MX', 'MY', 'NL', 'NO', 'NZ', 'OM', 'PH', 'PK', 'PL', 'PT', 'RU', 'SA', 'SC', 'SE', 'SG', 'SN', 'TH', 'TN', 'TR', 'TW', 'TZ', 'UG', 'US', 'VN', 'ZA', 'ZM', 'ZW']"
188,EN,DLA,Air Dolomiti,"['AT', 'CH', 'DE', 'FR', 'IT', 'JE', 'LU', 'PL', 'RO', 'SE']"
189,EO,ALX,Pegas Fly,"['BY', 'RU']"
190,EP,IRC,Iran Aseman Airlines,"['GE', 'IQ', 'IR']"
191,EQ,TAE,FLY ANGOLA,['AO']
192,ER,DHL,Serene Air,"['AE', 'PK', 'SA']"
193,ES,DHX,Estelar,"['CL', 'VE']"
194,ET,ETH,Ethiopian Airlines,"['AE', 'AO', 'AR', 'AT', 'BE', 'BF', 'BH', 'BI', 'BJ', 'BR', 'BW', 'CA', 'CD', 'CG', 'CH', 'CI', 'CM', 'CN', 'DE', 'DJ', 'DK', 'EG', 'ER', 'ET', 'FR', 'GA', 'GB', 'GH', 'GN', 'GQ', 'GR', 'HK', 'ID', 'IE', 'IL', 'IN', 'IT', 'JO', 'JP', 'KE', 'KM', 'KR', 'KW', 'LB', 'MG', 'ML', 'MW', 'MY', 'MZ', 'NA', 'NE', 'NG', 'NO', 'OM', 'PH', 'PK', 'QA', 'RU', 'RW', 'SA', 'SC', 'SD', 'SE', 'SG', 'SN', 'SO', 'SS', 'TD', 'TG', 'TH', 'TR', 'TZ', 'UG', 'US', 'ZA', 'ZM', 'ZW']"
195,EU,EEA,Chengdu Airlines,"['CN', 'RU', 'TH']"
196,EW,EWG,Eurowings,"['AE', 'AL', 'AM', 'AT', 'BA', 'BG', 'CH', 'CY', 'CZ', 'DE', 'DK', 'EG', 'ES', 'FI', 'FR', 'GB', 'GE', 'GR', 'HR', 'HU', 'IE', 'IL', 'IQ', 'IS', 'IT', 'JE', 'LB', 'MA', 'ME', 'MT', 'NL', 'NO', 'PL', 'PT', 'RO', 'RS', 'SE', 'TN', 'TR']"
197,EY,ETD,Etihad Airways,"['AE', 'AT', 'AU', 'BD', 'BE', 'BH', 'CA', 'CH', 'CN', 'DE', 'DK', 'EG', 'ES', 'FR', 'GB', 'GR', 'ID', 'IE', 'IL', 'IN', 'IT', 'JO', 'JP', 'KR', 'KW', 'LB', 'LK', 'MA', 'MV', 'MY', 'NL', 'OM', 'PH', 'PK', 'PT', 'QA', 'RU', 'SA', 'SC', 'SG', 'TH', 'TR', 'US', 'ZA']"
198,F2,FLM,Safarilink,"['KE', 'TZ']"
199,F3,FSW,flyadeal,"['AE', 'AZ', 'BA', 'CY', 'EG', 'GE', 'JO', 'KW', 'SA', 'SD', 'TR']"
200,F4,NBK,Air Flamenco,['PR']
201,F8,,Flair Airlines,"['CA', 'DO', 'MX', 'US']"
